rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
L.Miller,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Brady,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
C.Patterson,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Blue,0,9,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Hill,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Watson,0,4,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Hill,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Hill,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,1,,,0.0,0.0,1.0,0.0,0.0,0.0
D.Watson,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Hopkins,0,-7,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Hill,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
J.White,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Blue,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Blue,0,17,,,1.0,0.0,0.0,0.0,0.0,0.0
A.Blue,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,6,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Blue,1,1,,,1.0,0.0,0.0,1.0,0.0,1.0
R.Burkhead,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,4,,,1.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
J.White,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
C.Patterson,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
R.Burkhead,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
J.White,0,11,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Miller,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
